name,category,expertise,address/state,address/street/0,address/neighborhood,address/city,address/phone,description,operation,price_avg,payment_methods/credit_card/0,payment_methods/credit_card/1,payment_methods/credit_card/2,payment_methods/credit_card/3,payment_methods/debit_card/0,payment_methods/debit_card/1,payment_methods/debit_card/2,services/0,services/1,services/2,location/lat,location/lng,payment_methods/credit_card/4,services/3,services/4,services/5,rating,vote_count
Estação Maxambomba,Bares,Música ao vivo,PE,"Praça João Pessoa, 19",Carmo,Olinda,3439-2088,"Bandas com repertório de MPB, bossa nova, pop rock, sertanejo e axé se alternam no espaço, com shows que se iniciam às 21h. Às quartas e aos domingos, tem vez uma animada roda de samba. No cardápio estão as tulipas de frango acompanhadas de molho de maracujá (R$ 19,90, seis unidades). Outra sugestão é a posta de sorado e cebola empanados, ladeados por salada (R$ 27,90). Para beber, há chope Brahma (R$ 5,39) e o drinque clássico sex on the beach (R$ 10,50). Entre as trinta variedades de cachaça consta a mineira Vale Verde Premium, que custa R$ 9,00 a dose. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h/0h (seg. até 17h; sex. e sáb. até 2h),23,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.0169007,-34.8498407,Visa,,,,4.42,6
Catamaran,Bares,Happy hour,PE,"Cais das Cinco Pontas, s/nº",São José,Recife,(81) 3424-2845,"O bar funciona ao ar livre, às margens do Rio Capibaribe - um dos principais pontos turísticos da cidade. O cardápio relaciona diversas sugestões, a exemplo da mariscada ensopada ao molho de coco, que vem acompanhada de farinha de mandioca (R$ 32,90, para três pessoas) e o bolinho de bacalhau com molho rosê (R$ 29,00, vinte unidades). A cerveja Bohemia (R$ 9,90 a garrafa) preenche os copos dos clientes, que podem aproveitar o dia para fazer passeios de catamarã (R$ 25,00 a R$ 40,00, às 16h e às 20h). Aos sábados, domingos e feriados, há passeios extras, às 11h, 14h30 e 17h30. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h30/21h,31,American Express,Dinners,Mastercard,Visa,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Atividades para crianças,-8.0732671,-34.8806504,,Estacionamento,Vinho em taça,,4.37,284
MP Bar,Bares,Bar Danceteria,PE,"Avenida Beira-Mar, 20",Piedade,Jaboatão dos Guararapes,(81) 3462-6200 e 3341-8546,"A casa trabalha com festas temáticas: as quartas-feiras são dedicadas ao forró; às quintas, tem vez o brega; às sextas predominam músicas retrô e, aos sábados, tem repertorio eclético. Aos domingos, rodas de samba animam o público, que tem à disposição filé-mignon ao molho madeira com batata frita e queijo ralado (R$ 28,90) e carne de sol acebolada com macaxeira (R$ 27,90, para dois) para petiscar. Na carta de bebidas estão a cerveja Heineken (R$ 7,69 a long neck) e a tradicional caipirinha (R$ 9,99). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",21h/3h30 (dom. 17h/0h; fecha seg. e ter.),48,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Ar condicionado,Vinho em taça,-8.1629214,-34.914945,Visa,,,,1.26,45
Sala de Reboco,Bares,Música ao vivo,PE,"Rua Gregório Júnior, 264",Cordeiro,Recife,(81) 3228-7052,"Geraldinho Lins, Maciel Melo, Santana e Petrúcio Amorim são algumas das atrações de forró que costumam se apresentar na casa, que tem salão com mesas, pista de baile e camarotes no mezanino. Decorado com bandeirinhas e balões, o bar tem clima do interior do nordeste. As cervejas Devassa são vendidas em lata (R$ 4,00), e a Baden Baden, em garrafa de 600 mililitros (R$ 18,00). Para dividir, a porção de bolinho de charque em com dez unidades (R$ 12,00). Há, também caldinho de camarão (R$ 4,00) e arrumadinho de carne de sol (R$ 22,00). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",21h/4h (qui. a sáb.),49,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Estacionamento,-8.0536114,-34.9223132,Visa,Valet/Manobrista,Vinho em taça,,3.52,62
Conchittas,Bares,Botecos,PE,"Avenida Manoel Borba, 654",Boa Vista,Recife,98777-6838,"Jornalistas, artistas e universitários são os frequentadores mais assíduos do bar. Na decoração, chamam a atenção as caricaturas de músicos como Beatles, Bob Marley e Chico Science, desenhadas pela artista plástica Keila Amaral, mulher do proprietário Bruno Barros. No diminuto salão ou nas mesinhas da calçada, pode-se solicitar porções de camarão ao alho e óleo (R$ 28,00, 400 gramas) e de frango à passarinho (R$ 30,00, para quatro pessoas). O caldinho de costela bovina (R$ 5,00, 150 mililitros) é quase uma unanimidade na casa - são vendidos 700 copinhos por semana. Entre as bebidas, o drinque beijo de lua mistura licor de menta a caipirosca nevada de limão feita com vodca Smirnoff (R$ 10,00). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",18h/2h (sex. e sáb. até 6h; fecha seg.),55,,,,,Maestro,Rede Shop,Visa Electron,,,,-8.0592011,-34.893384,,,,,2.3,158
Guadalupe Cocina Mexicana,Bares,Mexicanos,PE,"Rua Capitão Rebelinho, 159",Pina,Recife,3071-4118,"Reforçado, o cardápio agora elenca receitas elaboradas pela publicitária Bete Ramos, à frente da casa desde janeiro de 2015. Na lista de novidades aparecem as fajitas, que chegam à mesa escoltadas por quatro tipos de molho (R$ 48,90, para quatro pessoas). Com massa de milho e recheio de camarão com tomate, alface e cheddar, o taco duro custa R$ 24,90 a unidade. Entre as 23 combinações de drinque, tem boa saída o alombra, preparado com tequila, Cointreau e outro licor à escolha, como de menta ou de morango (R$ 16,90). De quarta a domingo, há música ao vivo com predominância de MPB, pop, rock, dance e blues. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",18h/0h (sex. e sáb. até 2h; fecha seg.),45,Dinners,Hipercard,Mastercard,Visa,Maestro,Visa Electron,,Acesso wireless,Ar condicionado,Estacionamento,-8.0923125,-34.8854745,,Valet/Manobrista,,,4.73,57
Liverpool,Bares,Música ao vivo,PE,"Rua Capitão Rebelinho, 440",Pina,Recife,3037-0074,"Móveis em couro, piso amadeirado, bandeira da Inglaterra e fachada em tijolos aparentes são alguns dos elementos que rementem aos pubs ingleses. Alguns drinques homenageiam os Beatles, como o john lennon, que reúne vodca Absolut Peach, licor de pêssego, Cointreau, Grenadine e refrigerante de limão por R$ 21,50 e o paul mccartney, com rum, grenadine, sucos de abacaxi e de cramberry, por R$ 19,70. Animam a casa atrações de brega, forró, música eletrônica e principalmente sertanejo. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",21h/5h (qui. a dom.),47,American Express,Dinners,Mastercard,Visa,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Valet/Manobrista,-8.0948694,-34.8861773,,,,,4.75,57
Caricatura do Chicão,Bares,Botecos,PE,"Rua João da Silva Teles, 121",Parnamirim,Recife,(81) 3267-5080,"Tanto no endereço da Zona Sul como no Parnamirim, os clientes podem pedir o camarão ao alho e óleo (R$ 18,90, 300 gramas) e o filezinho aos quatro queijos servido com batata frita (R$ 38,90, para quatro pessoas). Para os frequentadores da unidade da Zona Norte, ainda há o pão de alho (R$ 7,90), petisco que tem bastante saída na unidade do local. Ali, também é possível encontrar cervejas Brahma e Antártica por R$ 4,99 a garrafa com 600 mililitros, em qualquer dia da semana. A caipirinha de morango com vodca Orloff custa R$ 10,90 em ambas as casas. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h/0h (sex. e sáb. até 2h,28,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Ar condicionado,Levar vinhos (permite),-8.0335135,-34.9143999,Visa,Lugares/Capacidade (total 180),Vinho em taça,,2.4,55
Bodega do Futuro,Bares,Botecos,PE,"Rua do Futuro, 181",Graças,Recife,3125-1181,"Telas do pernambucano Romero Pontes, com retratos de músicos como Amy Winehouse, Elvis Presley e Bob Marley, enfeitam as paredes do bar. Novidade do cardápio, o trio ternura reúne bolinho de queijo empanado, charque desfiada e azeitona (R$ 17,00) e disputa atenção com o petisco mais pedido da casa: a costelinha suína ao molho barbecue mais batata frita (R$ 29,00). Os pedidos vão bem com cerveja Heineken (R$ 9,50, 600 mililitros) e caipifruta de kiwi com vodca Smirnoff (R$ 12,00) ou Absolut (R$ 15,00). De terça a domingo, DJs e bandas locais animam a moçada com um repertório que passeia pelo pop rock, reggae e surf music. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",19h/2h (fecha seg.),40,Mastercard,Visa,,,Maestro,Visa Electron,,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.0427615,-34.9008255,,,,,2.18,43
Confraria dos Chifrudos,Bares,Botecos,PE,"Rua Real da Torre, s/nº - Mercado da Madalena, box 10",Madalena,Recife,(81) 3236-2817,"A bem-humorada decoração diverte a clientela deste bar, um dos mais concorridos do Mercado da Madalena. Chifres de boi e um sino enfeitam as paredes e uma placa, logo na entrada, avisa: ""Quem não for corno seja bem-vindo. Quem for, toque o sino"". Para petiscar, a cozinha prepara bode guisado (R$ 20,00) e cupim acebolado (R$ 12,00), ambos escoltados por macaxeira ou cuscuz, em porção para duas pessoas. As cervejas Brahma e Itaipava, em garrafas de 600 mililitros, saem a R$ 6,00 cada uma. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",5h30/17h (dom. e feriados até 13h; fecha seg.),51,,,,,,,,,,,-8.0475405,-34.8791508,,,,,4.43,185
Loft. Casa Forte,Bares,Drinques,PE,"Praça de Casa Forte, 661",Casa Forte,Recife,3268-0033,"O barman Jonathan Macena se esmera na hora de preparar um drinque exclusivo a partir da base de bebidas escolhida pelos clientes. Gim, vodca, uísque, rum ou tequila costumam integrar esses coqueteis, que custam R$ 22,00 cada um. Da carta já existente, ganham a preferência do público o lost citrus, feito com vodca, hortelã, refrigerante cítrico e xarope de curaçao blue (R$ 17,00). No cardápio figuram a porção de tiras de filé-mignon com molho de queijo, que vem à mesa na companhia de pão italiano (R$ 36,00, para duas pessoas) e o pastel recheado de queijo suíço e servido com geleia de pimenta e damasco (R$ 21,00, oito unidades). Às quartas, quintas e aos domingos, há música ao vivo com bandas de pop rock para animar as noitadas. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",19h/2h (fecha seg. e ter.),62,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso wireless,Ar condicionado,Valet/Manobrista,-8.0363107,-34.9219877,Visa,,,,4.71,98
Botequim Avenida,Bares,Happy hour,PE,"Avenida Boa Viagem, 7074",Boa Viagem,Recife,32048852,"As noites de quinta-feira são animadas pela Samba da Gente. Às sextas e aos sábados, Júnior Max se encarrega de tocar forró e sertanejo. Aos domingos, o repeteco de sertanejo acontece das 17h às 22h. Os clientes também podem se divertir com a mesa de sinuca (R$ 25,00 a hora). Para beliscar, o camarão na cerveja empanado (R$ 36,90) satisfaz três pessoas, e costuma ser pedido junto das cervejas Devassa (R$ 6,90, 600 mililitros) ou Baden Baden (R$ 21,90, 600 mililitros). Entre os drinques, o clássico manhattan custa R$ 12,10. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",17h/1h (sex. até 2h; sáb. 12h/2h; dom. 12h/22h; fecha seg.),36,Hipercard,Mastercard,Visa,,Maestro,Visa Electron,,Acesso para deficientes,Acesso wireless,Atividades para crianças,-8.1511295,-34.9104041,,,,,4.8,186
Farol Restaurante,Bares,Botecos,PE,"Travessa Dantas Barreto, 76 B",Carmo,Olinda,3203-2187,"Neste endereço de Olinda, os frequentadores contemplam a paisagem à beira-mar petiscando porções como macaxeira gratinada com charque (R$ 29,50, para duas pessoas) e camarão ao alho e óleo (R$ 39,00, 500 gramas). Os pedidos vão bem com cerveja Skol (R$ 9,00, 600 mililitros) ou com a caipirinha de saquê, preparada com morango, kiwi ou uva (R$ 14,00). Se a intenção for almoçar ou jantar, tem boa saída o grelhado de frutos do mar, que reúne camarão, polvo, lula, mexilhão, peixe e salmão preparados na chapa e guarnecidos de arroz branco (R$ 110,00, para três pessoas). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",12h/0h (sex. e sáb. até 1h; dom. 11h/21h),52,American Express,Dinners,Mastercard,Visa,Maestro,Rede Shop,Visa Electron,Acesso wireless,,,-8.012406,-34.8515474,,,,,1.34,72
Mercado da Boa Vista,Bares,Botecos,PE,"Rua Santa Cruz, s/nº",Boa Vista,Recife,(81) 3421-9192,"A culinária regional predomina nos nove bares instalados no mercado, frequentado sobretudo pelo público jovem. Petisco comum a todos, o sarapatel com farinha de mandioca custa R$ 15,00 e serve duas pessoas. Já no Neto's Bar, a porção de maior saída é a de carne de sol com batata frita e queijo de coalho (R$ 30,00, para quatro pessoas). Novidade no cardápio do Buchada's Bar, o arrumadinho vegetariano leva queijos manteiga, de coalho e ricota (R$ 15,00, para dois), e pode fazer parceria com as cachaças Seleta ou Boazinha (R$ 5,00 cada uma). Vendidas em garrafa, as cervejas Bohemia, Original (R$ 8,00 cada uma) e Skol (R$ 7,00) são as bebidas mais requisitadas em todos os boxes. Aos sábados e domingos, grupos musicais variados fazem shows na área ao ar livre. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",7h/19h (dom. até 16h),77,Visa,,,,Visa Electron,,,Acesso wireless,,,-8.0631761,-34.8907612,,,,,3.21,277
Empório Marítimo,Bares,Música ao vivo,PE,"Avenida Beira-Rio, 887",Torre,Recife,(81) 3226-3127,"O ritmo predominante na casa é MPB, cantada em voz e violão pelo mesmo cantor há doze anos. O Rio Capibaribe é o cenário de quem se acomoda às mesas, nas quais chegam petiscos feitos com frutos do mar, como a isca de peixe ao molho rosé (R$ 32,90, para até três pessoas) ou o polvo cozido com vinagrete (R$ 49,90), em porção suficiente para até três pessoas. Gratinado com purê de jerimum e servido com arroz, o camarão beira rio sai por R$ 49,90 e satisfaz dois comensais. A carta de bebidas reúne cerveja Original (R$ 9,50 a garrafa) e a caipirosca de kiwi (R$ 7,00). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",17h/1h (sex. e sáb. 11h/2h; dom. 11h/21h; fecha seg.),72,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,,-8.0460987,-34.9066237,Visa,,,,1.76,87
Nosso Jeito Bar,Bares,Bar Danceteria,PE,"Rua Bispo Cardoso Ayres, 65",Boa Vista,Recife,3221-8337,"As músicas executadas por duas bandas à noite transitam entre MPB, axé e frevo. Durante os intervalos, uma DJ residente comanda as picapes. Aos domingos, recebe uma entusiasmada roda de samba. Em todas as ocasiões, a cerveja Skol (R$ 6,00 o latão) e a clássica caipirinha (R$ 5,00) ajudam o público a manter o ritmo. Caldinhos de marisco, camarão, dobradinha ou caldo verde (R$ 4,00 cada um) forram o estômago da clientela. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",22h/5h (dom. 14h/23h; fecha seg. a sex.),52,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.0571531,-34.8889643,Visa,,,,4.74,100
Papacapim,Restaurantes,Pizzaria Regional,PE,"Avenida Rui Barbosa, 1397",Graças,Recife,(81) 3427-0010,"Com a reforma recente, o salão principal da unidade das Graças passou a ser climatizado. Outra novidade é o maior número de pratos que compõem o bufê. Agora, são cerca de cinquenta receitas quentes e trinta tipos de salada. O carpaccio de melancia e o filé-mignon ao francês, feito com creme de leite fresco, presunto, vinho branco, manteiga e batata palha, costumam aparecer com frequência. Nas Graças, o bufê custa R$ 31,90 por pessoa, enquanto em Boa Viagem os clientes pagam R$ 30,90. Nos fins de semana e feriados, os dois endereços cobram R$ 35,90 por pessoa. Crianças até oito anos pagam R$ 16,90. No cardápio à la carte, figuram saladas, crepes, pizzas e doces. A redonda de mussarela, alho-poró, mascarpone e shimeji custa R$ 57,30, com oito fatias. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h30/15h e 17h30/23h30 (sex. e sáb. jantar até 0h30),40,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Atividades para crianças,-8.0801988,-34.9348843,Visa,Estacionamento,Levar vinhos (permite),Lugares/Capacidade (total 320),4,176
Munganga Bistrô,Restaurantes,Peixes e frutos do mar,PE,"Rua das Piscinas Naturais, 32 - Galeria Caminho da Praia",Porto de Galinhas,Ipojuca,(81) 3552-2480,"Anéis de lula empanados em massa com cerveja, servidos com molho rosé ao conhaque (R$ 34,90, para duas pessoas), vão bem entre goles de caipirosca de uva e vodca Absolut (R$ 18,50). No camarão ao coco verde, o crustáceo grelhado, servido dentro da fruta, leva molho cremoso de coco com uva e maçã verde (R$ 59,90). Na hora da sobremesa, tem fãs a tapioca munganga, recheada com sorvete de coco, coberta com coulis de frutas vermelhas ao vinho do Porto (R$ 19,90). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",9h/0h,48,Mastercard,Visa,,,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.507279,-35.0026536,,Levar vinhos (permite),Lugares/Capacidade (total 100),Vinho em taça,4.67,205
Edmilson da Carne-de-Sol,Restaurantes,Carnes,PE,"Avenida Alberto Santos Dumont, 311",Jordão,Recife,(81) 3463-6712,"Em funcionamento há 41 anos, a casa tem como hit o filé com 300 gramas de carne de sol, assado na brasa com alho ou cebola-roxa, acompanhado de feijão-tropeiro, arroz, purê de macaxeira, batata e macaxeira fritas, farofa de jerimum, salada e manteiga de garrafa (R$ 29,90). Para duas pessoas, o charque é guarnecido de feijão-verde, arroz, macaxeira, vinagrete e farofa (R$ 54,90). No final, ninguém dispensa a cartola (R$ 19,90). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h/18h,32,,,,,,,,Estacionamento,Lugares/Capacidade (total 300),Vinho em taça,-8.1411341,-34.9229006,,,,,1.75,162
Chez Brigitte,Restaurantes,Franceses,PE,"Rua Esmeraldino Bandeira, 106",Graças,Recife,3221-4151,"Como sugestão de entrada, a belga Brigitte Anckaert prepara fundo de alcachofra com suflê de espinafre, cogumelo-de-paris e frutos do mar (R$ 42,00). Do rol dos principais, o magret de pato ao molho de jabuticaba pode ser guarnecido de arroz de castanha ou purê de batata-doce (R$ 59,00). O camarão com gengibre e coentro ao molho de ostra, com arroz perfumado (R$ 63,00), harmoniza com o branco chileno Casas Del Toqui Sauvignon Blanc (R$ 58,00). Para finalizar, tem creme brûlé a R$ 23,00. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",19h/0h (dom. só almoço 12h/16h; fecha seg.),54,American Express,Dinners,Mastercard,Visa,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.0467256,-34.9014897,,Estacionamento,Levar vinhos (permite),Lugares/Capacidade (total 55),4.25,153
Evoke,Restaurantes,Peixes e frutos do mar,PE,"Rua das Piscinas Naturais, s/nº",Porto de Galinhas,Ipojuca,3552-1391 e 98643-1035,"Para abrir o apetite, a bruschetta de tomate e manjericão (R$ 14,90) pede a companhia do vinho tinto português Quinta do Crasto Vinhas Velhas (R$ 91,90). Bastante requisitada, a lagosta trinchada ao creme de champanhe recebe risoto de caju como guarnição (R$ 58,00). Na hora da sobremesa, não há concorrência para os sorvetes artesanais de coco, baunilha ou chocolate maltado - a taça com uma bola custa R$ 6,90. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",12h/22h (qui. a sáb. até 0h; fecha ter.),39,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.3981037,-35.0613227,Visa,Levar vinhos (permite),Lugares/Capacidade (total 120),Vinho em taça,2.82,210
Mamulengo,Restaurantes,Variados/bufê,PE,"Rua Minas Gerais, 56",Ilha do Leite,Recife,(81) 3423-0556,"Bonecos de pano e tecido de chita compõem a decoração da casa. O bufê, montado na hora do almoço, inclui o frango à michelangelo, preparado com peito da ave ao molho de tomate e manjericão, o linguine ao pesto e o risoto de bacalhau. Custa R$ 54,90 o quilo. Pelo mesmo valor, passam na balança diariamente dez tipos de sobremesas, entre elas a torta de tâmara com castanha. O suco de tangerina acompanha a refeição por R$ 3,80. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h30/14h30 (fecha sáb. e dom.),63,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Ar condicionado,Estacionamento,Lugares/Capacidade (total 90),-8.0644992,-34.8955952,Visa,,,,4.75,76
Dalí Cocina,Restaurantes,Variados,PE,"Rua Feliciano Gomes, 172",Derby,Recife,3231-4759,"Da cozinha de inspiração mediterrânea saem pratos como o risoto de camarão com queijo emmental e tomate seco (R$ 49,00) e o salmão em crosta de gergelim ao molho de manga, servido com arroz à provençal (R$ 42,00). Cubos de filé-mignon ao molho madeira, com queijo gratinado, alho-poró e torradas (R$ 32,00), abrem o apetite ao lado do vinho tinto argentino Vista Calma Malbec (R$ 63,00). Hit da ala doce, o brigadeiro de cachaça envelhecida vai à mesa com sorvete de creme (R$ 17,00). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h/15h30 (qui. também 19h/23h; sex. e sáb. também 19h/0h; dom. até 16h; fecha seg.),78,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.0553648,-34.9012416,Visa,Estacionamento,Levar vinhos (permite),Lugares/Capacidade (total 55),4.04,242
Zen,Restaurantes,Japonesa,PE,"Rua da Hora, 288",Espinheiro,Recife,(81) 3204-3000,"Tem fãs o rodízio com mais de 100 itens, entre saladas, sushis, sashimis, temakis e pratos quentes. Cubos de salmão maçaricados com geleia de damasco e gergelim, penne com filé-mignon, camarão ao molho de cogumelos-de-paris, tempurá de camarão e doce de goiaba empanado com cream cheese circulam pelo salão. No almoço de segunda a sexta, a comilança custa R$ 36,90 (Espinheiro) e R$ 38,90 (Piedade). Nos demais horários, os preços sobem para R$ 42,90 e R$ 46,90, respectivamente. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.","11h30/15h e 18h/23h30 (sex., jantar até 0h; sáb., almoço até 16h e jantar até 0h; dom. e feriados sem intervalo)",50,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Ar condicionado,Levar vinhos (permite),Lugares/Capacidade (total 230 lugares),-8.0440217,-34.8951262,Visa,Valet/Manobrista,Vinho em taça,,4,49
Cidade 32,Restaurantes,Variados,PE,"Praça João Alfredo, 32",Amparo,Olinda,99859-1001 e 99561-3082,"Misto de galeria de arte e restaurante, o casarão é comandado pelos italianos Cláudio Vitalli e Marco Monaldi. Eles preparam receitas de influência mediterrânea, como o filé de salmão com manjericão fresco, servido com purê de batata e ervas (R$ 34,00). O ceviche de sirigado e camarão cumpre a função de entrada (R$ 28,00). Na carta de vinhos, o tinto italiano Chianti Laronchi custa R$ 70,00. Para a sobremesa, a sugestão é o crepe de manga com calda da fruta, sorvete de creme e redução de balsâmico (R$ 12,00). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h30/15h30 e 18h30/0h (qui. só jantar; fecha seg. a qua.),34,,,,,,,,Acesso wireless,Lugares/Capacidade (total 40),Vinho em taça,-8.0167062,-34.8529383,,,,,4.57,34
Robata Sushi Wadamon,Restaurantes,Japonesa,PE,"Rua Oliveira Goes, 250",Poço da Panela,Recife,3033-3301,"Depois de recepcionar a clientela, o sushiman Wadamon prepara os pedidos. O ussuzukuri, sashimi de salmão ou cioba de corte bem fino (R$ 54,80, para duas pessoas), concorre com o kishumaki, sushi de lula (R$ 48,89, oito peças), e o tempurá de camarão (R$ 76,89, para duas pessoas). Escolta a refeição a cerveja japonesa Kirin long neck (R$ 7,90). Para finalizar, entra em cena o tempurá de sorvete (R$ 17,80). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",12h/15h e 18h/23h (fecha qua.),20,American Express,Dinners,Mastercard,Visa,Maestro,Visa Electron,,Acesso wireless,Ar condicionado,Lugares/Capacidade (total 80),-8.0385183,-34.9225178,,,,,3.99,32
Burgogui,Restaurantes,Coreano,PE,"Rua Venezuela, 153",Espinheiro,Recife,(81) 3423-0692,"À frente da cozinha está a coreana Soon Ja Choi, há quatro décadas radicada em Recife. O burgogui, churrasco coreano servido na chapa, aparece nas versões de cioba (R$ 69,00), shiitake, lula ou camarão (R$ 82,00 cada um). A caldeirada de camarão, lula, mexilhão, tofu, polvo, cioba e macarrão de batata sai por R$ 89,00 - todos os pratos dão para quatro pessoas e acompanham missoshiru, arroz, legumes refogados, batata caramelada, broto de feijão, pasta de soja e kimchi (conserva à base de acelga). A aguardente coreana Soju (R$ 9,70 a dose) escolta a refeição. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",12h/15h e 18h/23h (fecha seg.),73,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Ar condicionado,Estacionamento,Lugares/Capacidade (total 60),-8.0475509,-34.8959392,Visa,,,,4.03,130
Adega,Restaurantes,Portugueses,PE,"Avenida Conselheiro Rosa e Silva, 172 - Clube Português",Graças,Recife,(81) 3221-6258,"Estrela do menu, o bacalhau aparece em vinte receitas. Na versão chafarix, a posta alta grelhada vai à mesa com cebola, alho, camarão puxado no azeite, batata, pimentões coloridos e azeitona preta (R$ 88,90, para duas pessoas). O prato harmoniza com o vinho branco alentejano Esporão Monte Velho (R$ 66,00). Da cozinha também saem pratos de outras influências, caso do camarão adega, puxado na manteiga com molho de mostarda e vinagre balsâmico, acompanhado de arroz à piamontese (R$ 48,90), e da sobremesa cartola (R$ 11,50). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h30/16h (qua. a sex. também jantar 18h30/23h),28,Dinners,Hipercard,Mastercard,Visa,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.0499677,-34.8982473,,Atividades para crianças,Estacionamento,Levar vinhos (permite),2.75,110
Florença,Restaurantes,Carnes,PE,"Rua Capitão Aurélio de Araújo, 135",Iputinga,Recife,3032-2987,"Camarões empanados com molho rosé (R$ 29,90) abrem o apetite para a peixada brasileira com legumes, pirão de peixe e arroz (R$ 59,90, para duas pessoas). Coberta com queijo de coalho, a carne de sol, com 800 gramas, vai à mesa na companhia de feijão-macáçar, arroz, pirão de queijo, paçoca, macaxeira frita, farofa e vinagrete (R$ 63,90, para quatro pessoas). No jantar, o cliente escolhe uma das 29 pizzas. A sertaneja, de frango, bacon, cogumelo-de-paris e catupiry, custa R$ 33,90. O petit gâteau com sorvete de creme (R$ 14,90) põe o ponto final. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h/0h,75,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso wireless,Ar condicionado,Atividades para crianças,-8.0407814,-34.9337936,Visa,Lugares/Capacidade (total 200),Valet/Manobrista,Vinho em taça,4.04,154
